-1	1	-0	-0
-0.999191	0.98	-0.00161866	-0
-0.998383	0.96	-0.00323365	-0
-0.997579	0.94	-0.00484208	-0
-0.99678	0.92	-0.00643961	-0
-0.995988	0.9	-0.00802423	-0
-0.995204	0.88	-0.00959105	-0
-0.994431	0.86	-0.011139	-0
-0.993669	0.84	-0.0126627	-0
-0.992919	0.82	-0.014162	-0
-0.992184	0.8	-0.0156313	-0
-0.991464	0.78	-0.0170712	-0
-0.990762	0.76	-0.0184757	-0
-0.990077	0.74	-0.0198463	-0
-0.989412	0.72	-0.0211766	-0
-0.988766	0.7	-0.0224689	-0
-0.988142	0.68	-0.0237166	-0
-0.987539	0.66	-0.0249223	-0
-0.98696	0.64	-0.0260795	-0
-0.986404	0.62	-0.0271912	-0
-0.985875	0.6	-0.0282509	-0
-0.985369	0.58	-0.029262	-0
-0.984891	0.56	-0.0302185	-0
-0.984438	0.54	-0.0311242	-0
-0.984013	0.52	-0.0319736	-0
-0.983614	0.5	-0.0327712	-0
-0.983244	0.48	-0.0335121	-0
-0.982899	0.46	-0.0342015	-0
-0.982582	0.44	-0.0348357	-0
-0.98229	0.42	-0.0354201	-0
-0.982024	0.4	-0.0359522	-0
-0.981781	0.38	-0.0364379	-0
-0.981562	0.36	-0.0368755	-0
-0.981364	0.34	-0.037271	-0
-0.981188	0.32	-0.0376237	-0
-0.98103	0.3	-0.0379395	-0
-0.980891	0.28	-0.038218	-0
-0.980767	0.26	-0.038465	-0
-0.98066	0.24	-0.0386804	-0
-0.980565	0.22	-0.0388695	-0
-0.980484	0.2	-0.0390322	-0
-0.980413	0.18	-0.0391733	-0
-0.980354	0.16	-0.0392926	-0
-0.980303	0.14	-0.0393942	-0
-0.980261	0.12	-0.0394779	-0
-0.980227	0.1	-0.039547	-0
-0.9802	0.08	-0.039601	-0
-0.980179	0.06	-0.0396426	-0
-0.980164	0.04	-0.0396711	-0
-0.980156	0.02	-0.0396886	-0
-0.980153	0	-0.0396939	-0
-0.980156	-0.02	-0.0396886	-0
-0.980164	-0.04	-0.0396711	-0
-0.980179	-0.06	-0.0396426	-0
-0.9802	-0.08	-0.039601	-0
-0.980227	-0.1	-0.039547	-0
-0.980261	-0.12	-0.0394779	-0
-0.980303	-0.14	-0.0393942	-0
-0.980354	-0.16	-0.0392926	-0
-0.980413	-0.18	-0.0391733	-0
-0.980484	-0.2	-0.0390322	-0
-0.980565	-0.22	-0.0388695	-0
-0.98066	-0.24	-0.0386804	-0
-0.980767	-0.26	-0.038465	-0
-0.980891	-0.28	-0.038218	-0
-0.98103	-0.3	-0.0379395	-0
-0.981188	-0.32	-0.0376237	-0
-0.981364	-0.34	-0.037271	-0
-0.981562	-0.36	-0.0368755	-0
-0.981781	-0.38	-0.0364379	-0
-0.982024	-0.4	-0.0359522	-0
-0.98229	-0.42	-0.0354201	-0
-0.982582	-0.44	-0.0348357	-0
-0.982899	-0.46	-0.0342015	-0
-0.983244	-0.48	-0.0335121	-0
-0.983614	-0.5	-0.0327712	-0
-0.984013	-0.52	-0.0319736	-0
-0.984438	-0.54	-0.0311242	-0
-0.984891	-0.56	-0.0302185	-0
-0.985369	-0.58	-0.029262	-0
-0.985875	-0.6	-0.0282509	-0
-0.986404	-0.62	-0.0271912	-0
-0.98696	-0.64	-0.0260795	-0
-0.987539	-0.66	-0.0249223	-0
